Anatone,46.1354,-117.1322,10
Anawalt,37.3364,-81.4407,217
Anchor,40.5681,-88.5385,243
Anchor Bay,38.8126,-123.5704,770
Anchor Point,59.7703,-151.7052,2291
Anchorage,61.1508,-149.1091,289069
Anchorage,38.2689,-85.5364,2421
Ancient Oaks,40.536,-75.5852,7731
Andale,37.7916,-97.6276,1259
Andalusia,31.3102,-86.4781,8841
Andalusia,40.0696,-74.9713,2376
Andalusia,41.4372,-90.7165,1073
Anderson,40.0891,-85.6892,80820
Anderson,34.5211,-82.6478,29563
Anderson,40.4497,-122.295,11282
Anderson,36.6532,-94.4441,2415
Anderson,40.7617,-74.9301,618
Anderson,43.5194,-96.6141,406
Anderson,34.9147,-87.2716,309
Anderson,30.4871,-95.9899,214
Anderson,64.3074,-149.1562,160
Anderson,40.7982,-95.6086,28
Anderson Creek,35.2657,-78.958,14021
Anderson Island,47.1578,-122.7039,1341
Andersonville,39.4338,-83.019,437
Andersonville,32.1965,-84.1454,295
Andersonville,36.197,-84.033,294
Andersonville,39.4975,-85.2889,180
Andover,45.2571,-93.3265,32825
Andover,37.6873,-97.1352,15508
Andover,41.6066,-80.5686,680
Andover,41.2949,-90.2907,425
Andover,41.9801,-90.2528,120
Andover,45.4102,-97.9037,36
Andres,41.3711,-87.8816,42
Andrew,42.1532,-90.5922,393
Andrews,32.3207,-102.552,13416
Andrews,33.4494,-79.566,2558
Andrews,35.1994,-83.8262,1976
Andrews,40.8604,-85.6023,1068
Andrews,29.5496,-82.8883,737
Andrews AFB,38.8054,-76.8744,3075
Anegam,32.3742,-112.035,90
Aneta,47.6795,-97.9897,137
Aneth,37.205,-109.1623,324
Angel Fire,36.3821,-105.2718,1089
Angelica,44.675,-88.3216,108
Angels,38.0706,-120.5501,3721
Angie,30.9633,-89.8177,310
Angier,35.5116,-78.7402,5746
Angle Inlet,49.3465,-95.0732,0
Angleton,29.1721,-95.4293,19597
Angola,41.6433,-85.005,9383
Angola,42.6379,-79.0295,2628
Angola on the Lake,42.655,-79.0523,1699
Angoon,57.455,-134.4978,467
Angostura,43.3192,-103.386,114
Anguilla,32.9719,-90.8284,707
Angus,31.9976,-96.427,423
Angustura,36.7138,-107.9154,2024
Angwin,38.5776,-122.4513,2774
Aniak,61.5817,-159.5451,571
Animas,18.4457,-66.6364,1441
Animas,31.9449,-108.8065,191
Anita,41.4437,-94.766,1060
Aniwa,45.0117,-89.2089,233
Ankeny,41.7288,-93.6031,70542
Anmoore,39.2611,-80.2862,558
Ann Arbor,42.2759,-83.731,314647
Anna,33.3472,-96.5508,20975
Anna,37.4612,-89.2388,4222
Anna,40.3957,-84.1754,1800
Anna Maria,27.5297,-82.7339,850
Annabella,38.7059,-112.0587,719
Annada,39.2622,-90.8287,61
Annandale,38.8324,-77.196,41982
Annandale,45.2599,-94.1205,3365
Annandale,40.6468,-74.8881,1751
